Name,Age,Height,Student,Date of Birth,Hobbies,Address
John,22,1.75,True,01/01/2000,"Football,Basketball","Street 1, City 1, Country 1"
Mike,30,1.65,False,01/01/1990,"Football,Basketball","Street 2, City 2, Country 2"
Steve,,1.85,True,01/01/1980,"Football,Basketball","Street 3, City 3, Country 3"
Mary,40,1.55,False,01/01/1980,"Football,Basketball","Street 4, City 4, Country 4"
Mark,20,1.95,True,01/01/1980,"Football,Basketball","Street 5, City 5, Country 5"
Jane,50,1.45,False,01/01/1980,"Football,Basketball","Street 6, City 6, Country 6"
Bob,60,1.35,True,01/01/1980,"Football,Basketball","Street 7, City 7, Country 7"
Rose,70,1.25,False,01/01/1980,"Football,Basketball","Street 8, City 8, Country 8"
Brian,80,1.15,True,01/01/1980,"Football,Basketball","Street 9, City 9, Country 9"
Julia,90,1.05,False,01/01/1980,"Football,Basketball","Street 10, City 10, Country 10"
Joe,100,0.95,True,01/01/1980,"Football,Basketball","Street 11, City 11, Country 11"
Kate,110,0.85,False,01/01/1980,"Football,Basketball","Street 12, City 12, Country 12"
Steve,120,0.75,True,01/01/1980,"Football,Basketball","Street 13, City 13, Country 13"
Mary,130,0.65,False,01/01/1980,"Football,Basketball","Street 14, City 14, Country 14"
Mark,140,0.55,True,01/01/1980,"Football,Basketball","Street 15, City 15, Country 15"
